RI, Na, Mg, Al, Si, K, Ca, Ba, Fe,Class
151588824,1287795,343036,140066,73282,0.68931,804468,0,0.1224, negative
15176423,129777,353812,121127,73002,0.65205,852888,0,0, negative
152212996,1420795,382099,0.46976,71.77,0.11178,95726,0,0, negative
152222108,1321045,37716,0.79076,719884,0.13041,102452,0,0, negative
151755118,13.39,365935,11888,727892,0.57132,827064,0,0.0561, negative
152099096,1368925,3592,112139,719604,0.08694,940044,0,0, negative
151755118,131506,360996,105077,732372,0.57132,823836,0,0, negative
151910022,1390205,373119,117917,721228,0.0621,889472,0,0, negative
151793844,1321045,347975,141029,72638,0.58995,843204,0,0, negative
151898632,1358285,334954,123053,72078,0.58995,890548,0,0, negative
151215232,12991,347077,112139,729796,0.621,834596,0,0.1581, negative
151976084,1380895,357853,132041,717196,0.11799,866876,0.68985,0, negative
151761952,1388875,360098,135893,727276,0.47817,782948,0,0, negative
151784732,1267845,366833,115991,731084,0.60858,870104,0,0, negative
151720948,133767,35022,115028,728508,0.50301,843204,0,0, negative
151746006,1283805,35022,114065,732708,0.5589,85504,0,0, negative
152210718,1372915,383895,0.72014,717588,0.16767,974476,0,0, negative
151823458,128713,347975,129152,729516,0.60237,843204,0,0, negative
151919134,14417,357853,136856,72078,0.5589,830292,0,0, negative
151761952,1279815,365935,126905,730076,0.60237,856116,0,0, negative
151750562,1281145,356955,13493,730188,0.621,859344,0,0, negative
151782454,1269175,353812,133967,729516,0.57132,875484,0,0, negative
151793844,127915,35022,112139,73.03,0.63963,87656,0,0, negative
151837126,131373,284217,127868,728508,0.55269,906688,0,0, negative
15215149,1305085,365037,0.87101,72218,0.19251,985236,0,0.0867, negative
151595658,127915,360996,161894,729684,0.63963,80662,0,0.1326, negative
151734616,130176,353812,168956,727276,0.54027,84428,0,0.0357, negative
15177562,1285135,347975,123053,729684,0.60858,856116,0.09135,0.1122, negative
151777898,1321045,338995,133004,727612,0.58995,859344,0,0, negative
151755118,134831,374017,116954,729908,0.58995,803392,0,0, negative
15215149,1305085,365037,0.87101,723188,0.19251,985236,0,0.0867, negative
151743728,132969,360098,114065,730916,0.57753,81738,0,0, negative
1515706,1271835,346179,156116,73198,0.67068,808772,0,0.1224, negative
151720948,128713,347975,133004,730412,0.5589,843204,0,0, negative
151910022,1388875,352914,132041,718092,0.50922,877636,0.11025,0, negative
151869018,131905,337199,117917,72722,0.57132,883016,0,0.0816, negative
152171992,135097,38614,0.88064,717924,0.22977,954032,0,0.0561, negative
151755118,1299765,360098,135893,729908,0.57132,839976,0,0.0561, negative
151761952,1281145,353812,123053,732372,0.57753,8389,0,0, negative
151784732,137745,348873,127868,72862,0.60237,848584,0,0, negative
15175284,1257205,347077,13814,733884,0.60237,85504,0,0.0306, negative
15178701,1273165,343036,11888,729516,0.621,875484,0,0.153, negative
